Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,HDPE-1,3.3,12.83,100,25.4,,,,,,,,
2,HDPE-5,3.3,12.83,83.44,127,,,,,,,,
3,HDPE-20,3.3,12.73,91.19,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,12.813,5.3952,1.0715,,,5.869,12.3109,0.3814,,,2.683,22.2904,-0.0015
,12.913,5.4385,1.0735,,,5.969,12.5226,0.3704,,,2.783,23.137,-0.0016
,13.013,5.4801,1.0747,,,6.069,12.7349,0.36,,,2.883,23.9836,-0.0013
,13.113,5.5232,1.0767,,,6.169,12.9458,0.3499,,,2.983,24.8305,-0.0015
,13.213,5.565,1.0777,,,6.269,13.1577,0.3402,,,3.083,25.677,-0.0018
,13.313,5.6074,1.0787,,,6.369,13.37,0.3312,,,3.183,26.5236,-0.0015
,13.413,5.6498,1.0797,,,6.469,13.581,0.3224,,,3.283,27.3703,-0.0017
,13.513,5.6916,1.0811,,,6.569,13.7924,0.3138,,,3.383,28.217,-0.0014
,13.613,5.7347,1.0828,,,6.669,14.0047,0.3055,,,3.483,29.0638,-0.0014
,13.713,5.7764,1.0838,,,6.769,14.2162,0.2972,,,3.583,29.9102,-0.0015
,13.813,5.8195,1.0851,,,6.869,14.4277,0.2894,,,3.683,30.7571,-0.0015
,13.913,5.8608,1.0853,,,6.969,14.6395,0.2816,,,3.783,31.6039,-0.0015
,14.013,5.9041,1.0872,,,7.069,14.8513,0.2745,,,3.883,32.4503,-0.0014
,14.113,5.9461,1.0882,,,7.169,15.0631,0.2674,,,3.983,33.2971,-0.0014
,14.213,5.9883,1.0893,,,7.269,15.2741,0.2601,,,4.083,34.1436,-0.0017
,14.313,6.0305,1.0899,,,7.369,15.486,0.2532,,,4.161,34.804,-0.0014
,14.413,6.0728,1.0908,,,7.469,15.6983,0.2466,,,,,
,14.513,6.1156,1.0918,,,7.569,15.9092,0.2397,,,,,
,14.613,6.1576,1.0925,,,7.669,16.1208,0.2332,,,,,
,14.713,6.2005,1.0944,,,7.769,16.3331,0.2269,,,,,
,14.813,6.2425,1.0949,,,7.869,16.5443,0.2208,,,,,
,14.913,6.2847,1.0957,,,7.969,16.7561,0.2147,,,,,
,15.013,6.3271,1.0962,,,8.069,16.9679,0.2081,,,,,
,15.113,6.3688,1.0966,,,8.169,17.1793,0.2016,,,,,
,15.213,6.4118,1.0981,,,8.269,17.3915,0.1956,,,,,
,15.313,6.4536,1.0987,,,8.369,17.6027,0.1899,,,,,
,15.413,6.497,1.0999,,,8.469,17.8141,0.1842,,,,,
,15.513,6.5388,1.0999,,,8.569,18.0264,0.1785,,,,,
,15.613,6.5814,1.1008,,,8.669,18.2378,0.1727,,,,,
,15.713,6.6233,1.1011,,,8.769,18.449,0.1671,,,,,
,15.813,6.6654,1.1021,,,8.869,18.6615,0.162,,,,,
,15.913,6.7079,1.1029,,,8.969,18.8729,0.1564,,,,,
,16.013,6.75,1.1033,,,9.069,19.0844,0.1515,,,,,
,16.113,6.7932,1.1037,,,9.169,19.2961,0.1463,,,,,
,16.213,6.8348,1.1042,,,9.269,19.508,0.1413,,,,,
,16.313,6.8779,1.1052,,,9.369,19.7196,0.1362,,,,,
,16.413,6.9197,1.1056,,,9.469,19.931,0.1306,,,,,
,16.513,6.9619,1.1063,,,9.569,20.1427,0.1255,,,,,
,16.613,7.0042,1.1063,,,9.669,20.3548,0.1204,,,,,
,16.713,7.0462,1.1064,,,9.769,20.5661,0.1148,,,,,
,16.813,7.0893,1.1074,,,9.869,20.7774,0.1092,,,,,
,16.913,7.1312,1.108,,,9.969,20.9896,0.1034,,,,,
,17.013,7.1744,1.1089,,,10.069,21.2012,0.097,,,,,
,17.113,7.2157,1.1085,,,10.169,21.4125,0.09,,,,,
,17.213,7.2587,1.1093,,,10.269,21.6245,0.0825,,,,,
,17.313,7.3006,1.109,,,10.369,21.8362,0.0741,,,,,
,17.413,7.3429,1.1097,,,10.469,22.0478,0.0636,,,,,
,17.513,7.3855,1.1103,,,10.569,22.2597,0.0492,,,,,
,17.613,7.4273,1.1105,,,10.614,22.3549,0.0284,,,,,
,17.713,7.4704,1.1111,,,10.633,22.3951,0.0078,,,,,
,17.813,7.5122,1.1109,,,10.733,22.6063,-0.0009,,,,,
,17.913,7.555,1.1115,,,10.833,22.8183,-0.0012,,,,,
,18.013,7.5969,1.1115,,,10.933,23.0301,-0.0011,,,,,
,18.113,7.6392,1.1122,,,11.033,23.2416,-0.0013,,,,,
,18.213,7.6818,1.1124,,,11.133,23.4534,-0.001,,,,,
,18.313,7.7236,1.112,,,11.233,23.6645,-0.001,,,,,
,18.413,7.7667,1.1123,,,11.333,23.8767,-0.0009,,,,,
,18.513,7.8083,1.1123,,,11.433,24.0886,-0.0011,,,,,
,18.613,7.8516,1.1133,,,11.486,24.2004,-0.0011,,,,,
,18.713,7.8934,1.1135,,,,,,,,,,
,18.813,7.936,1.1136,,,,,,,,,,
,18.913,7.9781,1.113,,,,,,,,,,
,19.013,8.02,1.113,,,,,,,,,,
,19.113,8.0628,1.1135,,,,,,,,,,
,19.213,8.1045,1.1135,,,,,,,,,,
,19.313,8.1476,1.1142,,,,,,,,,,
,19.413,8.1894,1.1138,,,,,,,,,,
,19.513,8.2325,1.1141,,,,,,,,,,
,19.613,8.2745,1.1137,,,,,,,,,,
,19.713,8.3168,1.1137,,,,,,,,,,
,19.813,8.3589,1.1138,,,,,,,,,,
,19.913,8.4009,1.1142,,,,,,,,,,
,20.013,8.4439,1.1141,,,,,,,,,,
,20.113,8.4859,1.1137,,,,,,,,,,
,20.213,8.529,1.1141,,,,,,,,,,
,20.313,8.5708,1.1138,,,,,,,,,,
,20.413,8.6131,1.1141,,,,,,,,,,
,20.513,8.6554,1.1141,,,,,,,,,,
,20.613,8.6973,1.1137,,,,,,,,,,
,20.713,8.7401,1.1136,,,,,,,,,,
