Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,pc-1,3.1,12.75,93.95,25.4,,,,,,,,
2,pc-5,3.07,12.75,91.95,127,,,,,,,,
3,pc-20,3.07,12.7,89.1,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,10.196,4.29,2.431,,,3.218,6.7014,2.683,,,1.012,8.142,2.5708
,10.296,4.3324,2.4387,,,3.318,6.913,2.6766,,,1.017,8.1843,2.5474
,10.396,4.3748,2.4468,,,3.418,7.1252,2.6663,,,1.021,8.2182,2.5257
,10.496,4.4168,2.4542,,,3.518,7.3359,2.6519,,,1.025,8.2521,2.5017
,10.596,4.4597,2.4619,,,3.618,7.5478,2.6352,,,1.029,8.286,2.4759
,10.696,4.5014,2.4692,,,3.716,7.756,2.6151,,,1.032,8.3115,2.4558
,10.796,4.5446,2.4764,,,3.797,7.9267,2.5949,,,1.035,8.3369,2.4354
,10.896,4.5867,2.4834,,,3.867,8.0752,2.5748,,,1.038,8.3623,2.4148
,10.996,4.6292,2.4897,,,3.922,8.1913,2.5546,,,1.041,8.3877,2.3945
,11.096,4.6712,2.4961,,,3.964,8.2806,2.5345,,,1.045,8.4215,2.3682
,11.196,4.7133,2.5025,,,3.995,8.3464,2.5141,,,1.049,8.4554,2.3432
,11.296,4.7559,2.5081,,,4.017,8.3929,2.4939,,,1.053,8.4893,2.3198
,11.396,4.7977,2.5138,,,4.034,8.4286,2.473,,,1.057,8.5231,2.2984
,11.496,4.8408,2.5195,,,4.047,8.456,2.4521,,,1.062,8.5655,2.2746
,11.596,4.8827,2.5247,,,4.058,8.4792,2.4304,,,1.067,8.6078,2.2541
,11.696,4.9253,2.5303,,,4.067,8.4982,2.4097,,,1.073,8.6586,2.2337
,11.796,4.9677,2.5349,,,4.075,8.5151,2.3891,,,1.081,8.7263,2.2133
,11.896,5.0097,2.5397,,,4.083,8.532,2.3666,,,1.094,8.8364,2.1926
,11.996,5.0524,2.544,,,4.09,8.5468,2.346,,,1.141,9.2342,2.1726
,12.096,5.0936,2.5483,,,4.097,8.5617,2.3249,,,1.241,10.0811,2.1644
,12.196,5.1371,2.5524,,,4.104,8.5766,2.304,,,1.341,10.9277,2.1626
,12.296,5.1789,2.5563,,,4.111,8.5915,2.2838,,,1.441,11.7744,2.1616
,12.396,5.2224,2.5607,,,4.119,8.6085,2.2622,,,1.541,12.621,2.1626
,12.496,5.2638,2.5632,,,4.128,8.6276,2.2403,,,1.641,13.4676,2.1679
,12.596,5.3065,2.5673,,,4.138,8.6487,2.2188,,,1.741,14.3145,2.1739
,12.696,5.3484,2.5699,,,4.149,8.672,2.1987,,,1.841,15.161,2.1795
,12.796,5.3905,2.5728,,,4.163,8.7016,2.178,,,1.941,16.0075,2.1849
,12.896,5.4333,2.5756,,,4.182,8.7417,2.1571,,,2.041,16.8542,2.1891
,12.996,5.4751,2.5776,,,4.209,8.799,2.1368,,,2.141,17.701,2.1928
,13.096,5.5183,2.5806,,,4.254,8.8947,2.1168,,,2.241,18.5476,2.1959
,13.196,5.5601,2.5822,,,4.354,9.1057,2.0977,,,2.341,19.3944,2.199
,13.296,5.6029,2.5848,,,4.454,9.3172,2.0922,,,2.441,20.2409,2.2017
,13.396,5.6447,2.5859,,,4.554,9.5299,2.0897,,,2.541,21.0876,2.204
,13.496,5.6869,2.5877,,,4.654,9.7407,2.0868,,,2.641,21.9344,2.2064
,13.596,5.7294,2.5892,,,4.754,9.9521,2.0844,,,2.741,22.781,2.2077
,13.696,5.7715,2.5899,,,4.854,10.1646,2.0831,,,2.841,23.6276,2.2095
,13.796,5.8146,2.5916,,,4.954,10.3759,2.0818,,,2.941,24.4743,2.2113
,13.896,5.8563,2.5919,,,5.054,10.5876,2.0821,,,3.041,25.3212,2.2123
,13.996,5.8994,2.5932,,,5.154,10.7993,2.0826,,,3.141,26.1678,2.2136
,14.096,5.9412,2.5932,,,5.254,11.0107,2.0837,,,3.241,27.014,2.2148
,14.196,5.9835,2.5931,,,5.354,11.2229,2.0855,,,3.341,27.8612,2.2154
,14.296,6.0259,2.5937,,,5.454,11.4343,2.0865,,,3.441,28.7077,2.2162
