Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,LDPE-1,3.25,14.73,90.8,25.4,,,,,,,,
2,LDPE-5,3.25,14.73,87.88,127,,,,,,,,
3,LDPE-20,3.25,14.73,82.35,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,0,0,-0.0088,,,0,0,-0.0072,,,0,0,-0.0055
,11.9,5.0099,0.4023,,,11.428,24.0761,0.489,,,8.85,74.5067,0.074
,12,5.0521,0.4034,,,11.528,24.2882,0.4885,,,8.854,74.5406,0.0505
,12.1,5.0945,0.405,,,11.628,24.4997,0.4882,,,8.859,74.583,0.0272
,12.2,5.1364,0.4056,,,11.728,24.7116,0.4879,,,8.866,74.6423,0.0046
,12.3,5.1794,0.4071,,,11.828,24.923,0.4876,,,8.966,75.4886,-0.0004
,12.4,5.2213,0.4082,,,11.928,25.1346,0.4873,,,9.066,76.3353,-0.0009
,12.5,5.2642,0.4094,,,12.028,25.3467,0.4868,,,9.166,77.182,-0.001
,12.6,5.3061,0.4107,,,12.128,25.5582,0.4864,,,9.266,78.0288,-0.0008
,12.7,5.3482,0.4116,,,12.228,25.7694,0.4861,,,9.366,78.8754,-0.0008
,12.8,5.3909,0.4129,,,12.328,25.9816,0.4859,,,9.466,79.722,-0.0007
,12.9,5.4327,0.414,,,12.428,26.193,0.4855,,,9.566,80.5688,-0.0009
,13,5.4757,0.4146,,,12.528,26.4045,0.4854,,,9.666,81.4153,-0.0009
,13.1,5.5171,0.4161,,,12.628,26.6166,0.4851,,,9.766,82.2621,-0.0008
,13.2,5.5606,0.4169,,,12.728,26.828,0.4846,,,9.866,83.1088,-0.0008
,13.3,5.6024,0.4184,,,12.828,27.0396,0.4842,,,9.966,83.9551,-0.0008
,13.4,5.6455,0.4192,,,12.928,27.2516,0.4841,,,10.066,84.8022,-0.0012
,13.5,5.6871,0.4201,,,13.028,27.4629,0.4838,,,10.166,85.6488,-0.0009
,13.6,5.7293,0.4212,,,13.128,27.6748,0.4834,,,10.266,86.4953,-0.0007
,13.7,5.7718,0.4219,,,13.228,27.8869,0.4835,,,10.366,87.342,-0.0008
,13.8,5.8135,0.4229,,,13.328,28.0977,0.4832,,,10.466,88.1887,-0.0007
,13.9,5.8568,0.4239,,,13.428,28.3098,0.4828,,,10.566,89.0355,-0.001
,14,5.8985,0.4247,,,13.528,28.5217,0.4828,,,10.666,89.8821,-0.0008
,14.1,5.9416,0.426,,,13.628,28.7327,0.4824,,,10.766,90.7286,-0.0007
,14.2,5.9835,0.4266,,,13.728,28.9446,0.4823,,,10.866,91.5755,-0.0009
,14.3,6.0258,0.4277,,,13.828,29.1568,0.4822,,,10.966,92.4221,-0.0009
,14.4,6.0679,0.4286,,,13.928,29.368,0.482,,,11.066,93.2687,-0.0007
,14.5,6.1099,0.4292,,,14.028,29.5798,0.482,,,11.166,94.1155,-0.0008
,14.6,6.1529,0.4302,,,14.128,29.7911,0.4816,,,11.266,94.9617,-0.0007
,14.7,6.1949,0.4308,,,14.228,30.0031,0.4815,,,11.366,95.8088,-0.0008
,14.8,6.2381,0.4321,,,14.328,30.215,0.4813,,,11.466,96.6554,-0.0005
,14.9,6.2797,0.4327,,,14.428,30.4262,0.4813,,,11.492,96.8755,-0.0006
,15,6.3225,0.4334,,,14.528,30.638,0.4811,,,,,
,15.1,6.3644,0.4343,,,14.628,30.8501,0.4809,,,,,
,15.2,6.4065,0.4348,,,14.728,31.0611,0.4808,,,,,
,15.3,6.4491,0.4356,,,14.828,31.2729,0.4807,,,,,
,15.4,6.4909,0.4364,,,14.928,31.4852,0.4807,,,,,
,15.5,6.5341,0.4371,,,15.028,31.6962,0.4804,,,,,
,15.6,6.5761,0.4381,,,15.128,31.9083,0.4803,,,,,
,15.7,6.619,0.4388,,,15.228,32.1196,0.4799,,,,,
,15.8,6.6608,0.4392,,,15.328,32.3312,0.4802,,,,,
,15.9,6.7028,0.44,,,15.428,32.5432,0.4798,,,,,
,16,6.7454,0.4404,,,15.528,32.7547,0.4797,,,,,
,16.1,6.7874,0.4415,,,15.628,32.9661,0.4798,,,,,
,16.2,6.8306,0.4419,,,15.728,33.1786,0.4796,,,,,
,16.3,6.8722,0.4425,,,15.828,33.3896,0.4795,,,,,
,16.4,6.9154,0.4434,,,15.928,33.6011,0.4793,,,,,
,16.5,6.9569,0.4437,,,16.028,33.8134,0.4794,,,,,
,16.6,6.9998,0.4445,,,16.128,34.0249,0.479,,,,,
,16.7,7.0417,0.4449,,,16.228,34.2361,0.4789,,,,,
,16.8,7.0838,0.4453,,,16.328,34.4481,0.4789,,,,,
