Results Table 1,,,,,,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,,,,,,
1,PMMA-RT-.1,3.43,12.57,91.44,2.54,,,,,,,,,,,,,
2,PMMA-RT-1.0,3.28,12.45,91.01,25.4,,,,,,,,,,,,,
3,PMMA-50-.1,3.28,12.6,92.71,2.54,,,,,,,,,,,,,
4,PMMA-50-1.0,3.2,12.62,87.86,25.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force,,4,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,7,0.2909,0.3907,,,2.882,1.1951,1.4522,,,7,0.2912,-0.0245,,,4.662,1.9476,1.1471
,7.1,0.2948,0.3946,,,2.93,1.2151,1.4723,,,7.1,0.296,-0.0202,,,4.758,1.9889,1.1673
,7.2,0.2994,0.4004,,,2.979,1.2354,1.4926,,,7.2,0.2997,-0.0172,,,4.857,2.0303,1.1874
,7.3,0.3032,0.4046,,,3.026,1.2551,1.5126,,,7.3,0.3044,-0.0137,,,4.957,2.0729,1.2068
,7.4,0.3079,0.4102,,,3.074,1.2757,1.5329,,,7.4,0.308,-0.0109,,,5.057,2.115,1.2258
,7.5,0.3117,0.414,,,3.12,1.296,1.5533,,,7.5,0.3126,-0.0063,,,5.157,2.1571,1.2454
,7.6,0.3166,0.4201,,,3.169,1.3164,1.5735,,,7.6,0.3167,-0.0034,,,5.257,2.1999,1.2638
,7.7,0.3203,0.4242,,,3.218,1.337,1.5938,,,7.7,0.3212,0.0007,,,5.357,2.2416,1.2818
,7.8,0.325,0.4296,,,3.267,1.3575,1.6139,,,7.8,0.3253,0.004,,,5.457,2.2848,1.2992
,7.9,0.3288,0.4335,,,3.314,1.3776,1.634,,,7.9,0.3298,0.0076,,,5.557,2.3266,1.3164
,8,0.3336,0.4392,,,3.363,1.3987,1.6542,,,8,0.3338,0.0107,,,5.657,2.3695,1.3332
,8.1,0.3373,0.4429,,,3.415,1.4201,1.6743,,,8.1,0.3381,0.0143,,,5.757,2.4116,1.3487
,8.2,0.3418,0.4478,,,3.464,1.441,1.6944,,,8.2,0.3425,0.0184,,,5.857,2.4536,1.3637
,8.3,0.3456,0.4521,,,3.515,1.4623,1.7148,,,8.3,0.3466,0.0213,,,5.957,2.4962,1.3791
,8.4,0.3502,0.4573,,,3.563,1.4833,1.7351,,,8.4,0.3509,0.0249,,,6.057,2.5379,1.3931
,8.5,0.3541,0.4615,,,3.614,1.5047,1.7554,,,8.5,0.3549,0.0282,,,6.157,2.5812,1.4092
,8.6,0.3586,0.4663,,,3.665,1.5262,1.7755,,,8.6,0.3592,0.0324,,,6.257,2.6229,1.422
,8.7,0.3627,0.4712,,,3.715,1.5473,1.7955,,,8.7,0.3632,0.0354,,,6.357,2.6662,1.4361
,8.8,0.3673,0.4761,,,3.766,1.5689,1.8156,,,8.8,0.3676,0.0393,,,6.457,2.7074,1.4485
,8.9,0.3712,0.4807,,,3.816,1.5906,1.8358,,,8.9,0.3718,0.0429,,,6.557,2.7503,1.462
,9,0.3756,0.4854,,,3.869,1.6126,1.856,,,9,0.3764,0.0464,,,6.657,2.7923,1.4734
,9.1,0.3797,0.4899,,,3.922,1.635,1.8762,,,9.1,0.3803,0.0497,,,6.757,2.8343,1.4846
,9.2,0.3839,0.4944,,,3.975,1.657,1.8964,,,9.2,0.3846,0.0536,,,6.857,2.877,1.4962
,9.3,0.3881,0.4993,,,4.024,1.6786,1.9164,,,9.3,0.3888,0.0568,,,6.957,2.9191,1.5068
,9.4,0.3923,0.5037,,,4.079,1.7015,1.9367,,,9.4,0.3931,0.0605,,,7.057,2.9624,1.5189
